,Originality,Rule.Conciousness,Openness.to.Change,Assertiveness,Social.Confidence,Empathy,Communicativeness,Independence,Rationality,Competitiveness,Concientiousness,Perfectionism,Decisiveness,Apprehension,Creativity,Agreeableness,Acheivement,Extroversion,Resilience,Status
1,6,4,4,4,9,6,7,5,5,8,8,5,5,6,4,7,7,8,5,Graduated
2,5,5,7,5,5,7,7,6,9,7,10,7,5,8,5,7,8,5,3,Graduated
3,5,6,4,6,5,5,8,2,6,2,7,7,4,7,4,6,4,8,4,Graduated
4,4,6,6,3,4,6,3,6,4,7,8,4,1,7,5,4,5,4,2,Graduated
5,4,4,4,4,9,6,7,6,6,7,9,5,3,6,4,7,7,7,4,Graduated
6,6,4,6,4,5,6,5,7,5,6,8,6,4,8,5,5,7,5,3,Graduated
7,4,4,5,4,3,7,6,6,5,5,7,5,3,5,4,5,5,5,4,Graduated
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,7,Graduated
9,5,4,4,4,2,8,2,7,6,6,7,7,5,7,4,5,7,1,4,Graduated
10,4,4,5,5,5,6,7,7,5,6,7,6,3,7,4,5,6,6,3,Graduated
11,6,5,6,5,4,4,6,8,8,5,8,6,7,8,6,4,7,4,5,Graduated
12,5,5,6,5,5,6,9,5,5,6,6,4,2,10,5,5,4,8,1,Graduated
13,4,6,7,3,4,8,8,6,7,7,9,6,1,5,5,6,7,6,3,Graduated
14,3,5,5,6,4,3,9,6,1,7,7,4,1,7,4,2,5,9,3,Graduated
15,6,7,5,6,6,3,4,7,6,7,7,4,4,9,6,4,6,4,3,Graduated
16,7,6,8,3,6,6,6,6,6,8,6,8,4,6,6,6,7,6,4,Graduated
17,3,7,6,5,6,5,9,3,6,7,5,5,5,6,4,6,5,9,5,Graduated
18,4,5,5,5,5,5,4,8,5,6,9,6,5,6,5,4,7,4,5,Graduated
19,4,4,7,5,7,6,4,6,10,7,6,7,5,5,5,7,7,3,6,Graduated
20,6,4,6,4,7,8,2,7,10,7,9,9,4,3,5,8,9,1,6,Graduated
21,6,5,6,6,7,7,9,6,6,6,8,5,5,5,6,7,6,8,5,Graduated
22,6,4,5,6,7,9,9,4,5,5,8,5,3,6,5,8,5,9,3,Graduated
23,5,6,4,4,4,4,8,3,3,6,7,6,4,7,4,4,5,9,4,Graduated
24,6,5,5,6,7,5,8,6,5,7,6,7,4,9,5,5,6,8,2,Graduated
25,8,5,3,6,6,6,7,8,8,7,7,5,6,6,6,5,7,5,5,Graduated
26,4,5,4,4,2,6,7,6,6,6,6,5,4,6,4,4,5,5,4,Graduated
27,7,6,5,5,4,3,9,8,5,4,5,3,5,8,6,2,4,7,4,Graduated
28,5,6,4,4,4,4,6,5,5,5,6,5,5,6,4,4,5,6,5,Graduated
29,4,5,6,5,1,6,1,10,3,8,8,6,1,9,6,1,7,1,1,Graduated
30,6,7,7,6,3,4,3,7,5,7,7,3,5,6,7,3,5,3,5,Graduated
31,5,4,5,6,10,8,4,5,7,8,8,6,6,8,4,9,7,5,4,Graduated
32,7,7,7,6,3,4,3,8,9,4,7,3,3,4,7,3,4,1,6,Graduated
33,5,4,6,5,4,8,5,6,8,5,9,5,6,5,5,6,6,4,6,Graduated
34,6,5,5,1,1,5,4,6,2,4,3,5,5,4,4,2,3,4,6,Graduated
35,4,4,5,5,4,5,4,6,6,6,8,5,5,7,4,4,6,4,4,Graduated
36,6,6,3,3,6,4,8,5,5,6,6,5,5,6,4,5,5,8,5,Graduated
37,3,6,5,8,8,4,7,5,8,8,8,8,6,8,5,6,8,6,4,Graduated
38,4,6,5,4,4,6,5,7,4,6,7,4,4,8,5,4,5,5,3,Graduated
39,4,5,4,4,2,6,7,6,6,6,6,5,4,6,4,4,5,5,4,Graduated
40,4,5,4,3,4,5,3,6,6,4,8,4,3,3,4,4,4,3,6,Graduated
41,6,4,5,6,6,6,4,7,6,6,8,5,3,6,5,5,6,4,4,Graduated
42,5,5,5,1,4,6,4,5,6,3,5,4,4,5,4,5,3,4,5,Graduated
43,8,5,4,6,3,3,6,6,4,3,5,3,3,10,6,2,2,6,2,Graduated
44,5,6,5,5,4,4,5,7,4,5,5,4,4,6,5,3,4,5,5,Graduated
45,5,4,5,3,6,4,4,5,4,6,6,5,3,8,4,4,5,5,3,Graduated
46,6,6,7,5,6,5,7,5,4,5,8,4,4,5,6,5,5,7,5,Graduated
47,0,9,7,6,8,3,9,9,2,6,6,1,5,9,6,3,4,9,3,Graduated
48,4,5,4,6,7,4,6,9,4,7,9,4,7,9,5,3,8,5,4,Graduated
49,6,7,7,6,7,10,9,6,4,5,3,9,4,6,7,8,5,9,3,Graduated
50,6,6,6,4,3,3,6,7,6,7,6,6,7,8,6,3,7,5,5,Graduated
51,5,3,4,5,8,4,7,7,5,8,9,7,5,7,4,5,8,7,5,Graduated
52,5,3,7,3,2,6,4,10,9,6,6,5,5,5,5,3,6,1,6,Graduated
53,4,6,3,3,6,6,7,5,3,8,8,2,5,9,3,5,5,8,3,Graduated
54,5,6,5,3,4,4,4,8,3,6,8,5,4,4,5,2,6,4,6,Graduated
55,4,6,5,5,6,6,7,6,5,6,7,5,4,6,5,5,5,7,4,Graduated
56,3,3,7,4,5,7,7,5,8,5,8,5,5,7,4,7,5,6,4,Graduated
57,4,5,4,4,2,6,7,6,6,6,6,5,4,6,4,4,5,5,4,Graduated
58,5,4,5,4,7,6,8,4,6,5,7,6,7,6,4,7,6,8,6,Graduated
59,5,4,6,4,7,9,9,2,6,6,8,5,6,8,4,9,5,9,3,Graduated
60,6,6,4,5,5,5,3,9,6,6,6,6,4,7,6,4,6,2,4,Graduated
61,6,5,7,8,7,7,9,5,6,8,9,9,6,6,6,7,9,8,5,Graduated
62,5,6,6,5,4,8,3,9,8,8,7,5,1,9,6,5,6,1,1,Graduated
63,5,5,4,3,5,6,6,6,6,5,7,5,3,8,4,5,5,5,2,Graduated
64,5,4,7,6,7,8,9,4,5,5,7,4,5,7,5,8,4,9,4,Graduated
65,6,6,4,3,4,3,6,6,6,4,5,4,4,7,5,3,3,5,4,Graduated
66,5,5,4,5,6,6,6,5,6,5,6,7,5,6,4,6,5,6,5,Graduated
67,6,8,6,5,5,6,3,8,5,7,5,5,5,5,7,4,6,3,6,Graduated
68,4,5,4,3,4,6,7,8,9,6,7,4,3,8,4,5,5,4,2,Graduated
69,4,5,6,3,3,3,6,6,4,4,7,2,2,6,4,2,3,6,4,Graduated
